name,url
Samariterverein Interlaken u. Umgebung,http://svinterlaken.cloudrexx.com/de/
Samariterverein Inwil,http://www.samariter-inwil.ch
Samariterverein Isenthal,None
Section de samaritains La Faraz,None
Samariterverein Jaun-Im Fang-Abländschen,None
Samariterverein Kaiseraugst,None
Samariterverein Kallnach-Niederried,None
Samariterverein Kehrsatz,http://www.samariter-kehrsatz.ch
Samariterverein Kelleramt,http://www.svkelleramt.ch
Samariterverein Kemptthal u. Umgebung,None
Samariterverein Kerenzerberg,None
Samariterverein Kerns,http://www.samariter-kerns.ch
Samariterverein Kerzers und Umgebung,https://www.samariterkerzers.ch/
Samariterverein Kirchberg SG,http://www.samariter-kirchberg-gaehwil.ch
Samariterverein Kirchdorf und Umgebung,None
Samariterverein Kleinlützel,None
Samariterverein Kloten,http://www.abc-samariter.ch
Samariter Konolfingen,https://www.samariter-konolfingen.ch
Samariterverein Koppigen u. Umgebung,None
Samariterverein Krauchthal,None
Samariterverein Kreuzlingen,http://www.samariter-kreuzlingen.ch
Samariter Kriens-Horw,http://www.samariter-kriens-horw.ch
Samariterverein Kulm,http://samaritervereinkulm.ch/
Samariterverein Küsnacht,None
Samariterverein Bezirk Küssnacht am Rigi,http://www.samariterverein-kuessnacht.ch
Section de samaritains L'Intyamon,None
Section de samaritains de la Vallée d'Illiez,None
Samariterverein Lachen,http://www.samariter-lachen.jimdo.com
Samariterverein Lalden,None
Section de samaritains Lancy,None
Samariterverein Falknis,None
Samariterverein Langnau i.E. BE,https://samariterverein-langnau-im-emmental.ch/
Samariterverein Langnau LU,None
Samariterverein Läufelfingen,None
Samariterverein Laufen,http://www.samariter-laufen.ch/
Samariterverein Laupen,None
Samariterverein Laupersdorf,None
Section de samaritains Lausanne-Mixte,http://www.lausanne-mixte.ch
Samariterverein Lausen,None
Samariterverein Lauterbrunnen,None
Section des samaritains Lavaux,None
Sezione samaritana Lavizzara,None
Section des Samaritains SIG,None
Section de samaritains Loclois,None
Section de samaritains Plateau du Mouret,None
Section de samaritains Le Noirmont,None
Samariterverein Leimental,None
Samariterverein Leissigen,None
Samariterverein Lengnau AG,http://www.samariterverein-lengnau.ch
Samariterverein Lenk,None
Section de samaritains Lentigny et Environs,None
Samariterverein Lenzburg und Umgebung,http://www.samariter-lenzburg.ch
Section de samaritains Les Breuleux,None
Section de samaritains Les Grands Rocs,http://www.lesgrandsrocs.ch
Section de samaritains Les Verrieres,None
Samariterverein Leuk,https://samaritervereinleuk.clubdesk.com/
Samariterverein Leukerbad,None
Section de samaritains Leysin,None
Samariterverein Lichtensteig,None
Samariterverein Liestal,None
Samariterverein Limpachtal,None
Samariterverein Linden,None
Samariterverein Linthli,None
